Player Name,Squad,Match Date,Format
Rohit Sharma,India,2024-06-29,T20
Virat Kohli,India,2024-06-29,T20
Rishab Pant,India,2024-06-29,T20
SuryaKumar Yadav,India,2024-06-29,T20
Axar Patel,India,2024-06-29,T20
Shivam Dubey,India,2024-06-29,T20
Hardik Pandya,India,2024-06-29,T20
Ravindra Jadeja,India,2024-06-29,T20
Kuldeep Yadav,India,2024-06-29,T20
Arshdeep Singh,India,2024-06-29,T20
Jaspreet Bumrah,India,2024-06-29,T20
Reeza Hendricks,SA,2024-06-29,T20
Quinton De Cock,SA,2024-06-29,T20
Aiden Markram,SA,2024-06-29,T20
Tristan Stubbs,SA,2024-06-29,T20
Heinirich Klassen,SA,2024-06-29,T20
David Miller,SA,2024-06-29,T20
Marco Jansen,SA,2024-06-29,T20
Keshav Maharaj,SA,2024-06-29,T20
Kasigo Rabada,SA,2024-06-29,T20
Anrich Nortje,SA,2024-06-29,T20
Tarbraiz Shamsi,SA,2024-06-29,T20